"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"02/06/2024","1.159.442.048","1.107.597.056","1.168.800.000","1.104.999.936","0,21K","4,65%"
"26/05/2024","1.107.890.944","1.111.506.048","1.130.000.000","1.088.999.936","0,19K","-0,33%"
"19/05/2024","1.111.506.048","1.069.212.992","1.137.336.960","1.055.318.976","0,27K","3,89%"
"12/05/2024","1.069.900.032","985.913.984","1.071.000.000","983.000.000","0,23K","8,52%"
"05/05/2024","985.913.024","1.025.833.984","1.050.000.000","975.369.024","0,24K","-3,89%"
"28/04/2024","1.025.833.984","1.035.000.000","1.049.001.024","925.148.032","0,39K","-0,89%"
"21/04/2024","1.035.000.000","1.062.995.968","1.096.274.048","1.022.585.984","0,21K","-2,63%"
"14/04/2024","1.062.998.016","1.084.466.944","1.100.000.000","980.500.992","0,52K","-1,98%"
"07/04/2024","1.084.468.992","1.105.500.032","1.155.000.064","1.045.950.976","0,43K","-1,81%"
"31/03/2024","1.104.499.968","1.113.600.000","1.129.260.032","1.034.550.976","0,33K","-0,82%"
"24/03/2024","1.113.600.000","1.018.291.008","1.135.718.016","1.014.700.032","0,35K","9,36%"
"17/03/2024","1.018.289.984","1.031.824.000","1.084.999.936","952.000.000","0,63K","-1,23%"
"10/03/2024","1.031.000.000","1.075.500.032","1.149.990.016","1.022.888.000","0,80K","-4,14%"
"03/03/2024","1.075.500.032","980.088.000","1.090.000.000","959.443.968","0,84K","9,73%"
"25/02/2024","980.089.024","806.670.976","998.280.000","800.499.968","0,68K","21,50%"
"18/02/2024","806.670.976","813.622.016","827.500.032","790.000.000","0,26K","-0,85%"
"11/02/2024","813.622.016","745.571.008","824.998.016","743.344.000","0,42K","9,13%"
"04/02/2024","745.571.968","676.009.984","748.257.024","665.000.000","0,35K","10,29%"
"28/01/2024","676.009.984","665.771.008","688.800.000","660.689.984","0,20K","1,54%"
"21/01/2024","665.771.008","652.484.992","667.320.000","605.003.008","0,26K","2,04%"
"14/01/2024","652.484.992","671.545.984","677.849.984","631.476.992","0,26K","-2,84%"
"07/01/2024","671.545.984","684.555.008","762.000.000","666.374.976","0,68K","-1,90%"
"31/12/2023","684.555.008","657.534.016","712.491.008","654.726.976","0,41K","4,11%"
"24/12/2023","657.532.992","678.496.000","681.033.024","649.356.032","0,26K","-3,09%"
"17/12/2023","678.496.000","660.444.992","686.200.000","635.000.000","0,27K","2,73%"
"10/12/2023","660.444.992","684.217.024","688.244.992","633.000.000","0,33K","-3,47%"
"03/12/2023","684.217.024","610.960.000","693.315.008","610.686.016","0,48K","11,99%"
"26/11/2023","610.960.000","590.150.016","614.217.024","573.000.000","0,26K","3,53%"
"19/11/2023","590.150.016","568.001.024","596.374.016","557.732.992","0,26K","3,90%"
"12/11/2023","568.001.024","584.195.968","588.244.992","548.441.984","0,28K","-2,77%"
"05/11/2023","584.195.968","550.385.984","593.939.968","543.478.976","0,28K","6,14%"
"29/10/2023","550.385.984","545.225.984","570.000.000","540.000.000","0,25K","0,95%"
"22/10/2023","545.225.984","474.441.984","555.721.024","472.803.008","0,37K","14,92%"
"15/10/2023","474.441.984","422.572.000","479.100.000","422.380.000","0,30K","12,27%"
"08/10/2023","422.572.000","437.657.984","438.950.016","418.518.016","0,12K","-3,45%"
"01/10/2023","437.657.984","418.384.000","442.952.992","418.311.008","0,20K","4,61%"
"24/09/2023","418.384.000","409.480.000","421.753.984","400.660.000","0,13K","2,17%"
"17/09/2023","409.480.000","407.959.008","421.000.000","406.107.008","0,12K","0,37%"
"10/09/2023","407.959.008","398.020.992","411.000.000","386.000.000","0,14K","2,50%"
"03/09/2023","398.020.992","396.700.000","404.992.992","391.307.008","0,11K","0,35%"
"27/08/2023","396.648.992","399.727.008","427.000.000","390.028.992","0,17K","-0,77%"
"20/08/2023","399.727.008","401.607.008","409.500.000","392.000.000","0,13K","-0,47%"
"13/08/2023","401.607.008","445.244.000","451.000.000","397.696.992","0,29K","-9,80%"
"06/08/2023","445.244.000","440.651.008","455.489.984","436.200.992","0,11K","1,04%"
"30/07/2023","440.651.008","442.545.984","450.448.000","433.783.008","0,10K","-0,43%"
"23/07/2023","442.545.984","448.239.008","453.755.008","436.000.000","0,11K","-1,27%"
"16/07/2023","448.239.008","456.588.000","457.220.000","445.500.000","0,12K","-1,83%"
"09/07/2023","456.588.000","457.384.992","470.000.000","451.000.000","0,17K","-0,17%"
"02/07/2023","457.384.992","458.950.016","470.553.984","453.000.000","0,14K","-0,34%"
"25/06/2023","458.950.016","457.276.992","467.984.000","448.416.000","0,17K","0,37%"
"18/06/2023","457.276.992","395.299.008","467.252.992","393.884.000","0,36K","15,68%"
"11/06/2023","395.299.008","387.199.008","398.800.000","372.000.000","0,15K","2,09%"
